AK,731545,189,147,128,132,106,125,118,3373,3819,6839,4984,6045,6140,1688
AL,4903185,789,1682,954,1043,1147,571,662,5754,9707,6042,6095,11312,2872,4606
AR,3017804,488,746,958,1124,942,706,807,7150,9936,10866,11978,21205,9725,56285
AZ,7278717,355,636,551,705,323,674,273,7647,9040,6657,13119,3735,4164,5134
CA,39512223,4293,2159,3590,3062,3200,2162,2955,157106,128298,92990,63587,88457,126531,148399
CO,5758736,657,680,682,511,535,411,569,8817,10033,10142,8721,6743,6082,9970
CT,3565287,0,0,555,192,221,182,560,0,0,71475,10195,12180,10204,51495
DC,705749,46,50,65,32,26,36,14,2230,3381,3873,2288,1438,3312,1875
DE,973764,118,188,150,174,82,142,129,1513,1987,1916,1481,992,1531,1662
FL,21477737,1868,2787,2660,2628,1948,3266,738,18547,22151,23026,22023,9120,25178,7493
GA,10617423,847,1444,1300,1308,1720,1025,596,16390,29924,14321,19405,21126,11310,11633
HI,1415872,133,94,105,120,87,87,98,1803,1660,1712,1842,87,2765,1807
IA,3155070,626,911,925,1038,1120,474,366,3632,4406,4124,5038,5359,2598,366
ID,1787065,464,677,513,614,511,422,205,1571,2552,1783,1963,1388,1266,1868
IL,12671821,1453,2442,2456,2166,2273,1362,1709,50203,69192,70485,63449,56273,44262,39433
IN,6732219,1087,1419,1464,1157,953,744,872,8501,8534,9327,6724,7542,4317,6562
KS,2913314,0,0,1362,0,1120,0,2037,0,0,8305,0,6421,0,9102
KY,4467673,616,1274,999,888,984,917,448,616,10982,21986,23118,12384,69133,17692
LA,4648794,893,0,817,551,610,533,240,25328,0,21887,15590,10237,17606,6229
MA,6892503,644,672,761,754,532,512,430,18355,13213,20698,17451,13894,13674,12682
MD,6045680,471,597,712,785,414,431,477,9651,9343,10873,9408,7283,6780,8259
ME,1344212,33,18,37,40,54,37,12,33,18,6862,7251,6992,4621,2188
MI,9986857,0,1275,984,998,1194,1118,1329,0,39251,39183,34721,28584,22976,49604
MN,5639632,1039,1421,1166,1066,687,809,904,16648,14061,16309,13808,7436,7904,12449
MO,6137428,1326,1708,1485,1799,1351,76,1280,9863,11659,9286,9234,1351,76,3572
MS,2976149,321,609,672,696,552,589,190,321,609,672,696,552,589,4807
MT,1068778,279,501,355,429,347,311,306,2351,920,4298,5122,2885,2419,6583
NC,10488084,610,2202,1775,2277,1495,889,868,24092,34360,34268,26513,13790,14164,24937
ND,762062,416,440,476,372,445,418,259,1170,1254,936,1036,1199,693,860
NE,1934408,426,792,621,520,466,515,467,2959,4912,4101,3384,2615,3681,2765
NH,1359711,48,63,217,51,33,25,36,48,1632,1818,2070,3476,812,1845
NJ,8882190,626,947,740,614,712,456,559,60394,947,57741,614,45560,456,52479
NM,2096829,296,339,226,278,172,141,152,5815,6673,7154,5745,5309,4035,5240
NV,3080156,392,526,772,430,385,404,463,2787,3049,4306,3031,1991,2643,3254
NY,19453561,1222,1731,1598,1382,1000,1189,834,109107,132536,117895,107836,96960,87042,52102
OH,11689100,941,1157,1495,1327,1080,1105,993,36959,45870,30056,72935,23478,34096,33996
OK,3956971,569,1189,1190,1170,980,1025,1684,569,16473,13529,10243,10645,30709,1684
OR,4217737,259,348,301,353,218,297,174,3274,4262,5047,5719,6272,4057,3365
PA,12801989,2251,0,1161,1156,1153,988,676,26664,0,15332,10512,12366,11270,10421
PR,3193694,300,628,680,312,288,1045,1118,300,628,680,312,288,1045,1118
RI,1059361,124,169,162,166,192,132,26,1833,2535,2248,2732,2511,2082,538
SC,5148714,691,1706,862,381,308,1179,568,37637,1706,20736,6975,8376,25307,20822
SD,884659,432,464,386,747,392,259,197,1324,1294,872,3487,1231,543,643
TN,6829174,1615,1192,971,1293,1528,879,737,31811,16756,15311,17083,22347,12260,14069
TX,28995881,2884,7006,3503,3534,5683,3541,4611,62062,97191,82910,41638,30648,25530,150237
UT,3205958,1393,1068,1107,1008,906,694,827,6821,6029,8258,5240,7200,3709,5385
VA,8535519,1067,1116,966,450,755,923,449,1067,18444,19265,23872,9825,11525,23629
VT,623989,7,10,13,3,3,4,3,727,917,1002,1114,3,818,932
WA,7614893,609,694,594,480,404,369,439,16588,20361,16021,13210,5532,10888,16144
WI,5822434,1926,3054,2825,3000,2459,2447,1739,8950,11192,10850,11474,9473,8397,6159
WV,1792147,160,161,283,176,156,180,164,7214,6045,9628,4844,3099,4863,3383
WY,578759,139,151,131,135,127,67,121,139,151,1852,135,490,360,1956
AK,731545,116,113,261,0,55,48,71,116,1424,7873,0,1952,2498,1649
AL,4903185,730,933,2452,1053,569,804,818,5637,6684,18617,6296,4886,5453,4746
AR,3017804,487,809,897,1086,982,617,641,6257,6813,8085,9436,8076,5987,6944
AZ,7278717,411,459,515,568,438,595,233,8757,10194,7092,9983,8774,9097,6805
CA,39512223,4071,4197,3400,3170,3146,2630,3294,146697,126286,95990,70264,72222,128643,146330
CO,5758736,584,709,548,616,654,542,501,9526,9218,8665,7865,5573,5633,6506
CT,3565287,0,0,115,157,155,136,497,0,0,13563,15418,9919,11922,45121
DC,705749,35,52,57,56,29,43,23,3145,4341,5662,4363,1786,3846,2577
DE,973764,104,71,138,117,69,94,101,1521,954,1320,1755,1138,1530,1691
FL,21477737,1882,2795,2847,2541,2590,2470,1685,16552,26218,23648,20978,21048,16612,16486
GA,10617423,812,1359,1468,1368,1457,882,1184,13102,23502,21210,20233,18331,11682,18857
HI,1415872,127,132,90,167,63,56,77,1563,2980,90,2549,1426,1106,1492
IA,3155070,692,899,974,1148,1036,548,660,3033,5018,5427,5579,5735,2939,2656
ID,1787065,539,523,491,396,446,410,244,2065,1772,1948,1646,884,1375,2114
IL,12671821,1604,2441,2805,2257,1848,1531,1477,49218,62776,67279,59814,44543,40298,36757
IN,6732219,901,1142,1171,899,711,599,522,7569,7786,8683,7890,6668,6196,6183
KS,2913314,0,0,1366,0,1267,0,1674,0,0,9123,0,6323,0,8268
KY,4467673,455,970,908,641,786,814,375,455,29298,17485,9152,147736,9402,9817
LA,4648794,923,0,706,577,616,752,243,26161,0,17825,16948,12419,20430,6550
MA,6892503,592,569,488,481,543,173,256,17471,13795,15400,18101,20120,8992,10579
MD,6045680,431,613,559,503,385,344,412,9632,11203,10346,8971,7706,6041,7741
ME,1344212,28,25,20,44,25,40,27,14749,25,6408,13887,10578,40,1227
MI,9986857,0,996,1040,1078,902,695,1575,0,39749,38448,36639,33327,19516,50623
MN,5639632,1075,1470,1177,912,678,480,925,14755,16056,13128,11988,5840,4016,8537
MO,6137428,1392,1716,1987,1365,1580,1059,1463,7545,14288,11647,13603,1580,21131,5588
MS,2976149,182,645,722,737,552,465,192,182,3682,3905,4311,3658,5130,3551
MT,1068778,200,343,322,330,212,271,130,822,2826,4276,4028,2939,2476,8319
NC,10488084,1290,1759,6142,1688,952,1168,800,29635,38427,31284,26076,16546,6222,11921
ND,762062,344,495,434,470,473,264,286,1045,1100,1087,791,1309,295,970
NE,1934408,434,431,453,493,397,305,286,4050,2910,2482,2774,2659,1925,2170
NH,1359711,51,77,0,37,17,38,5,2057,18150,0,2625,945,1247,1836
NJ,8882190,698,750,548,564,408,426,392,698,33107,26359,28493,24690,44040,392
NM,2096829,205,263,237,197,107,104,67,6243,7853,6730,5878,5541,3680,5376
NV,3080156,373,602,556,390,509,262,232,2905,3740,5292,3174,2341,2020,1376
NY,19453561,866,1005,908,955,665,754,573,83904,98948,93910,91998,70265,83243,57746
OH,11689100,800,1115,1150,991,903,685,856,36400,37279,38728,23525,41509,31941,30008
OK,3956971,0,990,1276,1083,1089,1164,1101,0,17331,12462,11517,11398,27070,1101
OR,4217737,239,267,449,362,190,318,194,2580,5498,11959,4011,3354,3465,2535
PA,12801989,918,1029,806,853,898,834,234,14778,13895,12927,13058,12496,10735,8849
PR,3193694,891,508,1063,1182,64,120,638,891,508,1063,1182,64,120,638
RI,1059361,114,103,-130,134,133,112,52,1858,3011,2581,2329,2596,1713,711
SC,5148714,614,1371,1195,1021,897,2665,416,9127,14959,18166,15501,17203,25701,11107
SD,884659,408,579,457,463,445,320,173,962,1608,1829,1066,1341,1003,497
TN,6829174,2104,1437,1910,835,1561,739,895,40553,25597,31547,15210,20378,11259,11385
TX,28995881,1694,4886,4633,4320,3392,17820,9853,20400,76478,47983,115839,69550,27414,19157
UT,3205958,1068,1017,1411,1198,877,650,622,5102,8845,8831,7919,6022,6258,3264
VA,8535519,736,975,941,902,580,872,627,9224,18955,19699,29537,10501,12143,16030
VT,623989,3,8,7,2,1,2,4,711,989,1083,924,1,600,840
WA,7614893,604,988,536,509,0,645,349,18998,16754,39447,1888,0,3698,13167
WI,5822434,2247,2902,2629,2478,1895,1739,1296,5806,9767,12575,10887,11691,10865,5525
WV,1792147,190,205,247,202,120,213,117,7242,6692,6122,3243,2791,2940,5095
WY,578759,168,45,115,136,153,72,73,168,45,1071,1511,153,637,1627
AK,731545,93,87,116,106,52,43,77,3982,4470,2314,7193,1388,3668,2123
AL,4903185,798,1301,1106,670,927,701,704,4918,8256,7036,3472,6874,4718,3660
AR,3017804,563,1078,871,992,862,730,408,16197,1078,10390,9749,862,43119,5791
AZ,7278717,467,609,1282,1753,698,484,213,10298,10231,8155,22668,15459,11156,4314
CA,39512223,4265,4304,3630,3238,2950,2235,2855,175007,162396,93519,76277,69402,119746,113318
CO,5758736,606,605,459,587,400,375,417,7227,8023,6860,5602,4576,5852,6625
CT,3565287,0,0,141,220,135,136,569,0,0,13734,13648,3499,10647,48435
DC,705749,53,50,62,47,56,65,30,4214,3709,5738,3030,1905,4067,1477
DE,973764,117,83,48,84,97,200,88,1593,990,1422,1179,1649,1455,1120
FL,21477737,2521,3573,3204,3255,2355,3116,1736,24014,26720,24084,23695,12821,24723,15342
GA,10617423,1134,2284,1834,1847,2223,1496,1023,14299,31153,20227,23923,22808,12347,12022
HI,1415872,109,137,159,102,65,79,112,109,10299,3670,2390,1036,2297,4020
IA,3155070,621,847,1183,948,803,401,386,3883,4897,5410,5379,4696,2575,2805
ID,1787065,288,470,396,283,278,253,112,1445,2173,1791,1440,1194,1304,1378
